date,GDP_growth
2005-01-01,0.6841253002
2006-01-01,0.8478203979
2007-01-01,0.7354411042
2008-01-01,0.3831131755
2009-01-01,0.0
2010-01-01,1.0
2011-01-01,0.6991299253
2012-01-01,0.3458312269
2013-01-01,0.5106975469
2014-01-01,0.669871158
2015-01-01,0.8303929515
2016-01-01,0.6378102324
2017-01-01,0.6376964063
2018-01-01,0.6197966666
