year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,Research_and_development_expenditure_perc_of_GDP
2005-01-01,13.827903593362999,2.484159539,9.891330439633213,2742.805466447279,-3346998839.5214896,-11.2934575320803,42.8633898523076,7.12351107638302,10211.2798788526,10240.0,78428266854.0298,-5.246440958287461,40.0,303.3999938964844,59497.848533386656,0.0,17.3507687432304,2.0,0.1818574,0.1465096,1.0,0.6437925999999999,0.5948926999999999,36.85563370353845,0.75,290017.0,103.3586,89.22806,45.36802,685640.0,0.44617
2006-01-01,23.071924976363892,2.534888721,10.003763309664803,2763.2691459628686,-5863231595.240029,-17.179052307269,47.321544332767715,6.87435837944525,11313.5508143539,11030.0,83850192576.6362,-1.1152769691748219,40.0,512.0999755859375,69599.10218694602,0.0,17.480708980669903,2.0,-0.05737580000000001,0.3955171,1.0,0.5968993,0.5771172,35.7,0.7559999999999999,273045.0,103.41791,89.74011999999998,47.15087,662510.0,0.4454
2007-01-01,31.2425335354324,2.198539597,8.87048617289125,2783.1755184459607,-11437006353.762,-25.752366821388307,52.3802470692046,7.344421909106599,12800.816675099399,11870.0,89548973887.1928,2.4449208180934074,40.99999904632568,629.0,76766.52658461269,0.0,17.5905067554726,2.0,-0.0075428,0.3582801,1.0,0.6287009,0.6909354,36.1,0.764,267584.0,106.84427,90.23805,50.58833,633343.0,0.43024
2008-01-01,18.9246161911489,2.856082179,9.95069883739695,2802.524583896554,-11875334885.4618,-21.825993230569,52.5433676169218,6.02188340210856,14328.9898581008,13720.0,102780473274.183,5.434152403517223,35.99999904632569,468.20001220703125,81000.0,0.0,17.703902147861896,2.0,-0.0473091,0.3706311,2.0,0.6973,0.5779763000000001,33.6,0.7709999999999999,262701.0,108.87175,89.43396,51.91331,593321.0,0.44787
2009-01-01,7.51026984032086,2.770416758,11.6601737928254,2821.367061058397,-4256328502.85846,-8.203471225224321,42.3320120735649,-3.58614562510616,14146.106896424599,13880.0,103337469669.589,6.816599845886231,37.99999952316284,169.1999969482422,82300.0,1200.0,17.8583351631288,2.0,0.16615829999999998,0.353604,2.0,0.6694661,0.5604840999999999,33.8,0.774,261007.0,109.68893,88.74194,54.23545,554835.0,0.4947
2010-01-01,3.64137103407323,3.036082907,14.367527798517001,2839.599985575412,-964620000.0,-1.90598476688248,50.178878794403715,1.32408780093829,14934.132741045,14620.0,108145989420.48,10.279399871826199,35.99999904632569,100.0,83100.0,0.0,18.0786741239875,2.0,0.11483519999999997,0.36009109999999994,2.0,0.6495608,0.5314857,35.7,0.779,260340.0,108.331,90.2262,57.79518,531980.0,0.56387
2011-01-01,3.66399876793918,2.959871369,13.277029358020403,2857.2756030599303,272490000.0,0.474569007788606,59.0690820837306,1.91490585291416,15676.1333354642,15180.0,111573377338.563,11.2595996856689,33.28965902328491,79.5999984741211,84000.0,0.0,18.4120672480738,2.0,0.1100856,0.3017503,2.0,0.5438341,0.4500802,34.3,0.782,255086.0,103.5849,93.75526,59.02869000000001,523355.0,0.53191
2012-01-01,3.3172722463566697,2.8697742,15.751452162521998,2874.39391351195,-528620000.0,-0.980687124879937,60.799191617788296,0.0309698686798754,16208.2204291165,15990.0,116829002919.851,12.269900321960401,41.0,79.69999694824219,84000.0,0.0,18.8141864681539,2.0,0.14188810000000002,0.379834,2.0,0.5632585999999999,0.4009156,36.0,0.7859999999999999,252372.0,100.3292,94.69573,61.35998000000001,503786.0,0.6047899999999999
2013-01-01,3.5802967821845697,3.215418819,18.1570190693118,2890.9995240176886,678640000.0,1.2215604554266102,64.8781363714651,0.493921421234305,16571.028761691003,16200.0,117730183198.039,12.940799713134801,41.0,99.4000015258789,84000.0,0.0,19.249287525747302,2.0,0.1573445,0.1707104,2.0,0.5389014,0.3372708,36.6,0.792,253675.0,98.05494,101.4532,64.19198,519569.0,0.6349100000000001
2014-01-01,1.9248592578442096,3.303250263,16.966624812368,2907.0016935361305,747230000.0,1.31520901905535,64.90496203257081,1.8375211479416,17534.3032559292,17380.0,125570609961.756,11.423800468444801,43.0,137.60000610351562,84000.0,0.0,19.661890741005003,2.0,0.07873789999999999,0.0785409,2.0,0.5683189999999999,0.366463,37.4,0.797,258840.0,96.66216,104.1488,67.56356,518914.0,0.79492
2015-01-01,4.34151974819137,3.127609235,17.650077927404197,2887.8907881758273,61370000.0,0.122247793964902,64.5380422511041,3.47118604090714,18186.487227858797,17820.0,127919416245.63,9.14330005645752,41.0,152.89999389648438,84000.0,0.0,20.0188312329569,2.0,0.2086831,0.0173222,2.0,0.5637681,0.4325731,36.18488246202469,0.807,261793.0,94.19827,102.2723,70.30154,501398.0,0.96019
2016-01-01,2.77324126208435,3.26570969,18.68387537453754,2902.079107779941,1756550000.0,3.2992461489429505,64.7258047381281,3.9367581489791,19500.3294529732,19450.0,138633362134.689,7.57460021972656,41.0,161.10000610351562,84000.0,0.0,20.429342866207303,2.0,0.2958971,0.07733330000000001,2.0,0.6585177,0.4011085,36.556039857864384,0.812,261969.0,91.08322,99.67708,71.24574,487087.0,0.7800600000000001
2017-01-01,3.47012402701833,3.3643630157896514,17.97526151775801,2907.7901605430143,2121950000.0,3.6446487616597,68.1464730187792,3.8112481584430498,20948.1942754245,21220.0,150173093130.025,6.1644001007080105,43.0,227.6999969482422,84000.0,0.0,20.757601186295897,2.0,0.2601942,0.3319523,2.0,0.6258,0.3787741,36.9713054060936,0.813,253783.7656937465,106.18806958399892,103.340081124413,68.4283510745424,493462.2609991282,0.77079
2018-01-01,1.87705298016313,3.54039598576932,17.03522264757749,2929.714276973562,3492220000.0,5.36167936526468,66.94009652972939,3.08115723374425,21960.3699424605,22300.0,156635795106.97302,5.21140003204346,42.0,164.33932222119196,84000.0,0.0,21.021914434268,2.0,0.2718757,0.4196386,2.0,0.5765803,0.3233821,37.75048246383667,0.816,259411.73742637038,103.10367915557563,104.36287150914191,67.85994810119688,519341.481143564,0.7538620870494842
